LINK_ID	EVENT_GROUP_ID	SOURCE_CHROMOSOME	SOURCE_START	SOURCE_STOP	TARGET_CHROMOSOME	TARGET_START	TARGET_STOP	LINK_TYPE	EVIDENCE
18	TXG018	chr17	7570000	7571800	chr6	32700000	32701800	TRANSLOCATION	t(17;6)(p13;p21)
19	TXG019	chr18	78000000	78001900	chr9	141000000	141002000	TRANSLOCATION	t(18;9)(q23;q34)
20	TXG020	chr19	13000000	13001700	chr22	42000000	42001800	TRANSLOCATION	t(19;22)(p13;q13)
21	TXG021	chr20	20000000	20001500	chr4	88000000	88002000	TRANSLOCATION	t(20;4)(p12;q22)
22	TXG022	chr21	19000000	19001800	chr8	142000000	142002400	TRANSLOCATION	t(21;8)(q21;q24)
23	TXG023	chr22	23200000	23201800	chr9	133700000	133702000	TRANSLOCATION	t(22;9)(q11.2;q34)
24	TXG024	chrX	50000000	50001800	chr2	45000000	45001800	TRANSLOCATION	t(X;2)(p11;p21)
25	TXG025	chrY	12000000	12001500	chr1	220000000	220002000	TRANSLOCATION	t(Y;1)(q11;q41)
26	TXG026	chr1	248000000	248002000	chr16	90000000	90001800	TRANSLOCATION	t(1;16)(q44;q24)
27	TXG027	chr2	240000000	240002100	chr7	100000000	100002000	TRANSLOCATION	t(2;7)(q37;q22)
28	TXG028	chr3	10000000	10001600	chr11	30000000	30001800	TRANSLOCATION	t(3;11)(p25;p14)
29	TXG029	chr4	5000000	5001800	chr13	110000000	110002000	TRANSLOCATION	t(4;13)(p16;q34)
30	TXG030	chr5	141011866	141013200	chr7	77900000	77902000	TRANSLOCATION	t(5;7)(q31;q21)
31	TXG031	chr6	32490000	32491800	chr14	23000000	23001800	TRANSLOCATION	t(6;14)(p21;q11)
32	TXG032	chr7	55200000	55202200	chr12	121000000	121002100	TRANSLOCATION	t(7;12)(p11;q24)
33	TXG033	chr8	38200000	38201800	chr17	81000000	81002000	TRANSLOCATION	t(8;17)(p12;q25)
34	TXG034	chr9	90000000	90001900	chr3	60000000	60001800	TRANSLOCATION	t(9;3)(q21;p14)
35	TXG035	chr10	123000000	123002000	chr18	55000000	55001700	TRANSLOCATION	t(10;18)(q26;q21)
36	TXG036	chr11	65000000	65001800	chr15	91500000	91502000	TRANSLOCATION	t(11;15)(q13;q26)
37	TXG037	chr12	112000000	112001900	chr20	60000000	60001800	TRANSLOCATION	t(12;20)(q24;q13)
38	TXG038	chr13	35000000	35001800	chr19	41000000	41001800	TRANSLOCATION	t(13;19)(q13;q13)
39	TXG039	chr14	95000000	95002100	chr21	43000000	43001800	TRANSLOCATION	t(14;21)(q32;q22)
40	TXG040	chr15	27000000	27001800	chr22	25000000	25001800	TRANSLOCATION	t(15;22)(q12;q11)
41	TXG041	chr16	10000000	10001500	chr5	181000000	181002000	TRANSLOCATION	t(16;5)(p13;q35)
42	TXG042	chr17	43000000	43001800	chr1	108700000	108702000	TRANSLOCATION	t(17;1)(q21;p13)
43	TXG043	chr18	15000000	15001700	chr6	32550000	32551800	TRANSLOCATION	t(18;6)(p11;p21)
44	TXG044	chr19	56000000	56001800	chr10	45000000	45001700	TRANSLOCATION	t(19;10)(q13;q11)
45	TXG045	chr20	50000000	50001800	chr12	69000000	69002000	TRANSLOCATION	t(20;12)(q13;q15)
46	TXG046	chr21	35000000	35001800	chr4	180000000	180002200	TRANSLOCATION	t(21;4)(q22;q35)
47	TXG047	chr22	48000000	48001800	chr8	128500000	128502000	TRANSLOCATION	t(22;8)(q13;q24)
48	TXG048	chrX	75000000	75001800	chr9	22000000	22001800	TRANSLOCATION	t(X;9)(q13;p21)
49	TXG049	chrY	20000000	20001500	chr15	50000000	50001800	TRANSLOCATION	t(Y;15)(q11;q21)
50	TXG050	chr5	150400000	150402000	chr22	23200000	23201800	TRANSLOCATION	t(5;22)(q33;q11.2)
51	TXG001	chr9	133700000	133701000	chr22	23200000	23201000	TRANSLOCATION	46,XX,t(9;22)(q34;q11.2)
